,var,;,id,",",(,),{,},=,inc,dec,if,elif,else,loop,break,return,or,and,==,!=,<,<=,>,>=,+,-,*,/,%,not,[,],lit-bool,lit-int,lit-char,lit-str,$
95,,,,r74,s181,r74,,,,,,,,,,,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,,,,,,,,,
96,,,,r75,,r75,,,,,,,,,,,,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,,,,,,,,,
97,,,,r76,,r76,,,,,,,,,,,,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,,,,,,,,,
98,,,,r77,,r77,,,,,,,,,,,,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,,,,,,,,,
99,,,s117,,s121,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s122,,s123,s124,s125,s126,,
100,,,s160,,s164,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s165,r33,s166,s167,s168,s169,,
101,,,,r80,,r80,,,,,,,,,,,,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,,,,,,,,,
102,,,,r81,,r81,,,,,,,,,,,,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,,,,,,,,,
103,,,,r82,,r82,,,,,,,,,,,,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,,,,,,,,,
104,,,,r83,,r83,,,,,,,,,,,,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,,,,,,,,,
105,,r28,r28,,,,,r28,,r28,r28,r28,,,r28,r28,r28,,,,,,,,,,,,,,,,,,,,,,
106,,r29,r29,,,,,r29,,r29,r29,r29,,,r29,r29,r29,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,s184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,r45,,,,,,,,,,,,s185,,,,,,,,,,,,,,,,,,,,,
109,,,,,,r47,,,,,,,,,,,,r47,s186,,,,,,,,,,,,,,,,,,,,
110,,,,,,r49,,,,,,,,,,,,r49,r49,s132,s133,,,,,,,,,,,,,,,,,,
111,,,,,,r51,,,,,,,,,,,,r51,r51,r51,r51,s135,s136,s137,s138,,,,,,,,,,,,,,
112,,,,,,r55,,,,,,,,,,,,r55,r55,r55,r55,r55,r55,r55,r55,s140,s141,,,,,,,,,,,,
113,,,,,,r61,,,,,,,,,,,,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,s143,s144,s145,,,,,,,,,
114,,,,,,r65,,,,,,,,,,,,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,,,,,,,,,
115,,,s117,,s121,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s122,,s123,s124,s125,s126,,
116,,,,,,r70,,,,,,,,,,,,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,,,,,,,,,
117,,,,,s192,r74,,,,,,,,,,,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,,,,,,,,,
118,,,,,,r75,,,,,,,,,,,,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,,,,,,,,,
119,,,,,,r76,,,,,,,,,,,,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,,,,,,,,,
120,,,,,,r77,,,,,,,,,,,,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,,,,,,,,,
121,,,s117,,s121,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s122,,s123,s124,s125,s126,,
122,,,s160,,s164,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s165,r33,s166,s167,s168,s169,,
123,,,,,,r80,,,,,,,,,,,,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,,,,,,,,,
124,,,,,,r81,,,,,,,,,,,,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,,,,,,,,,
125,,,,,,r82,,,,,,,,,,,,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,,,,,,,,,
126,,,,,,r83,,,,,,,,,,,,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,,,,,,,,,
127,,s49,s41,,,,,s195,,s42,s43,s45,,,s46,s47,s48,,,,,,,,,,,,,,,,,,,,,,
128,,r43,r43,,,,,r43,,r43,r43,r43,,,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,
129,,,s72,,s76,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s77,,s78,s79,s80,s81,,
130,,,s72,,s76,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s77,,s78,s79,s80,s81,,
131,,,s72,,s76,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s77,,s78,s79,s80,s81,,
132,,,r52,,r52,,,,,,,,,,,,,,,,,,,,,r52,r52,,,,r52,r52,,r52,r52,r52,r52,,
133,,,r53,,r53,,,,,,,,,,,,,,,,,,,,,r53,r53,,,,r53,r53,,r53,r53,r53,r53,,
134,,,s72,,s76,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s77,,s78,s79,s80,s81,,
135,,,r56,,r56,,,,,,,,,,,,,,,,,,,,,r56,r56,,,,r56,r56,,r56,r56,r56,r56,,
136,,,r57,,r57,,,,,,,,,,,,,,,,,,,,,r57,r57,,,,r57,r57,,r57,r57,r57,r57,,
137,,,r58,,r58,,,,,,,,,,,,,,,,,,,,,r58,r58,,,,r58,r58,,r58,r58,r58,r58,,
138,,,r59,,r59,,,,,,,,,,,,,,,,,,,,,r59,r59,,,,r59,r59,,r59,r59,r59,r59,,
139,,,s72,,s76,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s77,,s78,s79,s80,s81,,
140,,,r62,,r62,,,,,,,,,,,,,,,,,,,,,r62,r62,,,,r62,r62,,r62,r62,r62,r62,,
141,,,r63,,r63,,,,,,,,,,,,,,,,,,,,,r63,r63,,,,r63,r63,,r63,r63,r63,r63,,
142,,,s72,,s76,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s77,,s78,s79,s80,s81,,
143,,,r66,,r66,,,,,,,,,,,,,,,,,,,,,r66,r66,,,,r66,r66,,r66,r66,r66,r66,,
144,,,r67,,r67,,,,,,,,,,,,,,,,,,,,,r67,r67,,,,r67,r67,,r67,r67,r67,r67,,
145,,,r68,,r68,,,,,,,,,,,,,,,,,,,,,r68,r68,,,,r68,r68,,r68,r68,r68,r68,,
146,,r69,,,,,,,,,,,,,,,,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,r69,,,,,,,,,
147,,,s95,,s99,r33,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s100,,s101,s102,s103,s104,,
148,,,,,,s203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s204,,,,,,
150,,,,s206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r35,,,,,,
151,,,,r45,,,,,,,,,,,,,,s207,,,,,,,,,,,,,,,r45,,,,,,
152,,,,r47,,,,,,,,,,,,,,r47,s208,,,,,,,,,,,,,,r47,,,,,,
153,,,,r49,,,,,,,,,,,,,,r49,r49,s132,s133,,,,,,,,,,,,r49,,,,,,
154,,,,r51,,,,,,,,,,,,,,r51,r51,r51,r51,s135,s136,s137,s138,,,,,,,,r51,,,,,,
155,,,,r55,,,,,,,,,,,,,,r55,r55,r55,r55,r55,r55,r55,r55,s140,s141,,,,,,r55,,,,,,
156,,,,r61,,,,,,,,,,,,,,r61,r61,r61,r61,r61,r61,r61,r61,r61,r61,s143,s144,s145,,,r61,,,,,,
157,,,,r65,,,,,,,,,,,,,,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,r65,,,r65,,,,,,
158,,,s160,,s164,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s165,,s166,s167,s168,s169,,
159,,,,r70,,,,,,,,,,,,,,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,r70,,,r70,,,,,,
160,,,,r74,s214,,,,,,,,,,,,,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,r74,,,r74,,,,,,
161,,,,r75,,,,,,,,,,,,,,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,r75,,,r75,,,,,,
162,,,,r76,,,,,,,,,,,,,,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,,,r76,,,,,,
163,,,,r77,,,,,,,,,,,,,,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,r77,,,r77,,,,,,
164,,,s117,,s121,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s122,,s123,s124,s125,s126,,
165,,,s160,,s164,,,,,,,,,,,,,,,,,,,,,s69,s70,,,,s71,s165,r33,s166,s167,s168,s169,,
166,,,,r80,,,,,,,,,,,,,,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,r80,,,r80,,,,,,
167,,,,r81,,,,,,,,,,,,,,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,r81,,,r81,,,,,,
168,,,,r82,,,,,,,,,,,,,,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,r82,,,r82,,,,,,
169,,,,r83,,,,,,,,,,,,,,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,,,r83,,,,,,
